r,theta,phi,x,y,z,weight
1.0,0.0,90.0,1.0,0.0,0.0,0.06666666666666667
1.0,180.0,90.0,-1.0,0.0,0.0,0.06666666666666667
1.0,90.0,90.0,0.0,1.0,0.0,0.06666666666666667
1.0,-90.0,90.0,0.0,-1.0,0.0,0.06666666666666667
1.0,90.0,0.0,0.0,0.0,1.0,0.06666666666666667
1.0,90.0,180.0,0.0,0.0,-1.0,0.06666666666666667
1.0,45.0,54.735610317245346,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.075
1.0,45.0,125.26438968275465,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.075
1.0,-45.0,54.735610317245346,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.075
1.0,-45.0,125.26438968275465,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.075
1.0,135.0,54.735610317245346,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.075
1.0,135.0,125.26438968275465,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.075
1.0,-135.0,54.735610317245346,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.075
1.0,-135.0,125.26438968275465,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.075
