r,theta,phi,x,y,z,weight
1.0,0.0,90.0,1.0,0.0,0.0,4.6560318992e-05
1.0,180.0,90.0,-1.0,0.0,0.0,4.6560318992e-05
1.0,90.0,90.0,0.0,1.0,0.0,4.6560318992e-05
1.0,-90.0,90.0,0.0,-1.0,0.0,4.6560318992e-05
1.0,90.0,0.0,0.0,0.0,1.0,4.6560318992e-05
1.0,90.0,180.0,0.0,0.0,-1.0,4.6560318992e-05
1.0,45.0,54.735610317245346,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.00054215491953
1.0,45.0,125.26438968275465,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.00054215491953
1.0,-45.0,54.735610317245346,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.00054215491953
1.0,-45.0,125.26438968275465,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.00054215491953
1.0,135.0,54.735610317245346,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.00054215491953
1.0,135.0,125.26438968275465,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.00054215491953
1.0,-135.0,54.735610317245346,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.00054215491953
1.0,-135.0,125.26438968275465,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.00054215491953
1.0,45.0,2.059243260039601,0.025408353368143354,0.025408353368143354,0.9993542070548556,0.000177852213335
1.0,45.0,177.94075673996042,0.06399322800504911,0.06399322800504911,0.995896447196689,0.000281132540568
1.0,-45.0,2.059243260039601,0.10882694698041234,0.10882694698041234,0.9880857205839203,0.000354889631263
1.0,-45.0,177.94075673996042,0.15706707988182866,0.15706707988182866,0.9750178792385248,0.000409031089717
1.0,135.0,2.059243260039601,0.2071163932282514,0.2071163932282514,0.9561409934273505,0.000449328613417
1.0,135.0,177.94075673996042,0.2578914044450845,0.2578914044450845,0.9311197812455085,0.000479372844796
1.0,-135.0,2.059243260039601,0.3085687558169622,0.3085687558169622,0.8997614383085907,0.000501541531916
1.0,-135.0,177.94075673996042,0.3584719706267023,0.3584719706267023,0.8619719789819257,0.000517512737268
1.0,88.54358160506786,88.54405190272912,0.4070135594428708,0.4070135594428708,0.8177285153761542,0.000528552226208
1.0,-88.54358160506786,88.54405190272912,0.4536618626222638,0.4536618626222638,0.7670605118269329,0.000535683270371
1.0,88.54358160506786,91.45594809727089,0.4979195686463576,0.4979195686463576,0.7100367640608831,0.000539791473618
1.0,-88.54358160506786,91.45594809727089,0.5393075111126999,0.5393075111126999,0.6467571545138485,0.00054168994416
1.0,91.45641839493214,88.54405190272912,0.6115617676843915,0.6115617676843915,0.5019804862875493,0.000541930847689
1.0,-91.45641839493214,88.54405190272912,0.6414308435160159,0.6414308435160159,0.4208716502363456,0.000541693690203
1.0,91.45641839493214,91.45594809727089,0.6664099412721607,0.6664099412721607,0.3343584608579101,0.00054195443387
1.0,-91.45641839493214,91.45594809727089,0.6859161771214913,0.6859161771214913,0.24297735681762167,0.000542898365663
1.0,1.456418394932011,88.54405190272912,0.6993625593503889,0.6993625593503889,0.1475941094954238,0.00054422865001
1.0,178.543581605068,88.54405190272912,0.706239338771938,0.706239338771938,0.049517600325051626,0.000545225034506
1.0,1.456418394932011,91.45594809727089,-0.025408353368143354,0.025408353368143354,0.9993542070548556,0.000177852213335
1.0,178.543581605068,91.45594809727089,-0.06399322800504911,0.06399322800504911,0.995896447196689,0.000281132540568
1.0,-1.456418394932011,88.54405190272912,-0.10882694698041234,0.10882694698041234,0.9880857205839203,0.000354889631263
1.0,-178.543581605068,88.54405190272912,-0.15706707988182866,0.15706707988182866,0.9750178792385248,0.000409031089717
1.0,-1.456418394932011,91.45594809727089,-0.2071163932282514,0.2071163932282514,0.9561409934273505,0.000449328613417
1.0,-178.543581605068,91.45594809727089,-0.2578914044450845,0.2578914044450845,0.9311197812455085,0.000479372844796
1.0,45.00000000000001,5.192377600143265,-0.3085687558169622,0.3085687558169622,0.8997614383085907,0.000501541531916
1.0,45.00000000000001,174.80762239985674,-0.3584719706267023,0.3584719706267023,0.8619719789819257,0.000517512737268
1.0,-45.00000000000001,5.192377600143265,-0.4070135594428708,0.4070135594428708,0.8177285153761542,0.000528552226208
1.0,-45.00000000000001,174.80762239985674,-0.4536618626222638,0.4536618626222638,0.7670605118269329,0.000535683270371
1.0,135.0,5.192377600143265,-0.4979195686463576,0.4979195686463576,0.7100367640608831,0.000539791473618
1.0,135.0,174.80762239985674,-0.5393075111126999,0.5393075111126999,0.6467571545138485,0.00054168994416
1.0,-135.0,5.192377600143265,-0.6115617676843915,0.6115617676843915,0.5019804862875493,0.000541930847689
1.0,-135.0,174.80762239985674,-0.6414308435160159,0.6414308435160159,0.4208716502363456,0.000541693690203
1.0,86.32340487403052,86.33095099874427,-0.6664099412721607,0.6664099412721607,0.3343584608579101,0.00054195443387
1.0,-86.32340487403052,86.33095099874427,-0.6859161771214913,0.6859161771214913,0.24297735681762167,0.000542898365663
1.0,86.32340487403052,93.66904900125574,-0.6993625593503889,0.6993625593503889,0.1475941094954238,0.00054422865001
1.0,-86.32340487403052,93.66904900125574,-0.706239338771938,0.706239338771938,0.049517600325051626,0.000545225034506
1.0,93.6765951259695,86.33095099874427,0.025408353368143354,-0.025408353368143354,0.9993542070548556,0.000177852213335
1.0,-93.6765951259695,86.33095099874427,0.06399322800504911,-0.06399322800504911,0.995896447196689,0.000281132540568
1.0,93.6765951259695,93.66904900125574,0.10882694698041234,-0.10882694698041234,0.9880857205839203,0.000354889631263
1.0,-93.6765951259695,93.66904900125574,0.15706707988182866,-0.15706707988182866,0.9750178792385248,0.000409031089717
1.0,3.676595125969482,86.33095099874427,0.2071163932282514,-0.2071163932282514,0.9561409934273505,0.000449328613417
1.0,176.32340487403053,86.33095099874427,0.2578914044450845,-0.2578914044450845,0.9311197812455085,0.000479372844796
1.0,3.676595125969482,93.66904900125574,0.3085687558169622,-0.3085687558169622,0.8997614383085907,0.000501541531916
1.0,176.32340487403053,93.66904900125574,0.3584719706267023,-0.3584719706267023,0.8619719789819257,0.000517512737268
1.0,-3.676595125969482,86.33095099874427,0.4070135594428708,-0.4070135594428708,0.8177285153761542,0.000528552226208
1.0,-176.32340487403053,86.33095099874427,0.4536618626222638,-0.4536618626222638,0.7670605118269329,0.000535683270371
1.0,-3.676595125969482,93.66904900125574,0.4979195686463576,-0.4979195686463576,0.7100367640608831,0.000539791473618
1.0,-176.32340487403053,93.66904900125574,0.5393075111126999,-0.5393075111126999,0.6467571545138485,0.00054168994416
1.0,45.0,8.853268953717661,0.6115617676843915,-0.6115617676843915,0.5019804862875493,0.000541930847689
1.0,45.0,171.14673104628235,0.6414308435160159,-0.6414308435160159,0.4208716502363456,0.000541693690203
1.0,-45.0,8.853268953717661,0.6664099412721607,-0.6664099412721607,0.3343584608579101,0.00054195443387
1.0,-45.0,171.14673104628235,0.6859161771214913,-0.6859161771214913,0.24297735681762167,0.000542898365663
1.0,135.0,8.853268953717661,0.6993625593503889,-0.6993625593503889,0.1475941094954238,0.00054422865001
1.0,135.0,171.14673104628235,0.706239338771938,-0.706239338771938,0.049517600325051626,0.000545225034506
1.0,-135.0,8.853268953717661,-0.025408353368143354,-0.025408353368143354,0.9993542070548556,0.000177852213335
1.0,-135.0,171.14673104628235,-0.06399322800504911,-0.06399322800504911,0.995896447196689,0.000281132540568
1.0,83.71482277231095,83.75230137207099,-0.10882694698041234,-0.10882694698041234,0.9880857205839203,0.000354889631263
1.0,-83.71482277231095,83.75230137207099,-0.15706707988182866,-0.15706707988182866,0.9750178792385248,0.000409031089717
1.0,83.71482277231095,96.24769862792903,-0.2071163932282514,-0.2071163932282514,0.9561409934273505,0.000449328613417
1.0,-83.71482277231095,96.24769862792903,-0.2578914044450845,-0.2578914044450845,0.9311197812455085,0.000479372844796
1.0,96.28517722768905,83.75230137207099,-0.3085687558169622,-0.3085687558169622,0.8997614383085907,0.000501541531916
1.0,-96.28517722768905,83.75230137207099,-0.3584719706267023,-0.3584719706267023,0.8619719789819257,0.000517512737268
1.0,96.28517722768905,96.24769862792903,-0.4070135594428708,-0.4070135594428708,0.8177285153761542,0.000528552226208
1.0,-96.28517722768905,96.24769862792903,-0.4536618626222638,-0.4536618626222638,0.7670605118269329,0.000535683270371
1.0,6.285177227689055,83.75230137207099,-0.4979195686463576,-0.4979195686463576,0.7100367640608831,0.000539791473618
1.0,173.71482277231095,83.75230137207099,-0.5393075111126999,-0.5393075111126999,0.6467571545138485,0.00054168994416
1.0,6.285177227689055,96.24769862792903,-0.6115617676843915,-0.6115617676843915,0.5019804862875493,0.000541930847689
1.0,173.71482277231095,96.24769862792903,-0.6414308435160159,-0.6414308435160159,0.4208716502363456,0.000541693690203
1.0,-6.285177227689055,83.75230137207099,-0.6664099412721607,-0.6664099412721607,0.3343584608579101,0.00054195443387
1.0,-173.71482277231095,83.75230137207099,-0.6859161771214913,-0.6859161771214913,0.24297735681762167,0.000542898365663
1.0,-6.285177227689055,96.24769862792903,-0.6993625593503889,-0.6993625593503889,0.1475941094954238,0.00054422865001
1.0,-173.71482277231095,96.24769862792903,-0.706239338771938,-0.706239338771938,0.049517600325051626,0.000545225034506
1.0,45.0,12.833957144587611,0.025408353368143354,0.025408353368143354,-0.9993542070548556,0.000177852213335
1.0,45.0,167.1660428554124,0.06399322800504911,0.06399322800504911,-0.995896447196689,0.000281132540568
1.0,-45.0,12.833957144587611,0.10882694698041234,0.10882694698041234,-0.9880857205839203,0.000354889631263
1.0,-45.0,167.1660428554124,0.15706707988182866,0.15706707988182866,-0.9750178792385248,0.000409031089717
1.0,135.0,12.833957144587611,0.2071163932282514,0.2071163932282514,-0.9561409934273505,0.000449328613417
1.0,135.0,167.1660428554124,0.2578914044450845,0.2578914044450845,-0.9311197812455085,0.000479372844796
1.0,-135.0,12.833957144587611,0.3085687558169622,0.3085687558169622,-0.8997614383085907,0.000501541531916
1.0,-135.0,167.1660428554124,0.3584719706267023,0.3584719706267023,-0.8619719789819257,0.000517512737268
1.0,80.84875689365145,80.96330016245219,0.4070135594428708,0.4070135594428708,-0.8177285153761542,0.000528552226208
1.0,-80.84875689365145,80.96330016245219,0.4536618626222638,0.4536618626222638,-0.7670605118269329,0.000535683270371
1.0,80.84875689365145,99.03669983754783,0.4979195686463576,0.4979195686463576,-0.7100367640608831,0.000539791473618
1.0,-80.84875689365145,99.03669983754783,0.5393075111126999,0.5393075111126999,-0.6467571545138485,0.00054168994416
1.0,99.15124310634855,80.96330016245219,0.6115617676843915,0.6115617676843915,-0.5019804862875493,0.000541930847689
1.0,-99.15124310634855,80.96330016245219,0.6414308435160159,0.6414308435160159,-0.4208716502363456,0.000541693690203
1.0,99.15124310634855,99.03669983754783,0.6664099412721607,0.6664099412721607,-0.3343584608579101,0.00054195443387
1.0,-99.15124310634855,99.03669983754783,0.6859161771214913,0.6859161771214913,-0.24297735681762167,0.000542898365663
1.0,9.151243106348524,80.96330016245219,0.6993625593503889,0.6993625593503889,-0.1475941094954238,0.00054422865001
1.0,170.84875689365148,80.96330016245219,0.706239338771938,0.706239338771938,-0.049517600325051626,0.000545225034506
1.0,9.151243106348524,99.03669983754783,-0.025408353368143354,0.025408353368143354,-0.9993542070548556,0.000177852213335
1.0,170.84875689365148,99.03669983754783,-0.06399322800504911,0.06399322800504911,-0.995896447196689,0.000281132540568
1.0,-9.151243106348524,80.96330016245219,-0.10882694698041234,0.10882694698041234,-0.9880857205839203,0.000354889631263
1.0,-170.84875689365148,80.96330016245219,-0.15706707988182866,0.15706707988182866,-0.9750178792385248,0.000409031089717
1.0,-9.151243106348524,99.03669983754783,-0.2071163932282514,0.2071163932282514,-0.9561409934273505,0.000449328613417
1.0,-170.84875689365148,99.03669983754783,-0.2578914044450845,0.2578914044450845,-0.9311197812455085,0.000479372844796
1.0,45.00000000000001,17.032063031939355,-0.3085687558169622,0.3085687558169622,-0.8997614383085907,0.000501541531916
1.0,45.00000000000001,162.96793696806063,-0.3584719706267023,0.3584719706267023,-0.8619719789819257,0.000517512737268
1.0,-45.00000000000001,17.032063031939355,-0.4070135594428708,0.4070135594428708,-0.8177285153761542,0.000528552226208
