r,theta,phi,x,y,z,weight
1.0,0.0,90.0,1.0,0.0,0.0,1.8073952522e-05
1.0,180.0,90.0,-1.0,0.0,0.0,1.8073952522e-05
1.0,90.0,90.0,0.0,1.0,0.0,1.8073952522e-05
1.0,-90.0,90.0,0.0,-1.0,0.0,1.8073952522e-05
1.0,90.0,0.0,0.0,0.0,1.0,1.8073952522e-05
1.0,90.0,180.0,0.0,0.0,-1.0,1.8073952522e-05
1.0,90.0,45.00000000000001,0.7071067811865475,0.7071067811865475,0.0,0.000284800878224
1.0,90.0,135.0,0.7071067811865475,-0.7071067811865475,0.0,0.000284800878224
1.0,-90.0,45.00000000000001,-0.7071067811865475,0.7071067811865475,0.0,0.000284800878224
1.0,-90.0,135.0,-0.7071067811865475,-0.7071067811865475,0.0,0.000284800878224
1.0,0.0,45.00000000000001,0.7071067811865475,0.0,0.7071067811865475,0.000284800878224
1.0,0.0,135.0,0.7071067811865475,0.0,-0.7071067811865475,0.000284800878224
1.0,180.0,45.00000000000001,-0.7071067811865475,0.0,0.7071067811865475,0.000284800878224
1.0,180.0,135.0,-0.7071067811865475,0.0,-0.7071067811865475,0.000284800878224
1.0,45.0,90.0,0.0,0.7071067811865475,0.7071067811865475,0.000284800878224
1.0,-45.0,90.0,0.0,0.7071067811865475,-0.7071067811865475,0.000284800878224
1.0,135.0,90.0,0.0,-0.7071067811865475,0.7071067811865475,0.000284800878224
1.0,-135.0,90.0,0.0,-0.7071067811865475,-0.7071067811865475,0.000284800878224
1.0,45.0,54.735610317245346,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.000283606583753
1.0,45.0,125.26438968275465,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.000283606583753
1.0,-45.0,54.735610317245346,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.000283606583753
1.0,-45.0,125.26438968275465,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.000283606583753
1.0,135.0,54.735610317245346,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.000283606583753
1.0,135.0,125.26438968275465,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.000283606583753
1.0,-135.0,54.735610317245346,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.000283606583753
1.0,-135.0,125.26438968275465,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.000283606583753
1.0,45.0,1.2867401035484,0.015878764198584534,0.015878764198584534,0.9997478330534413,7.0131492667e-05
1.0,45.0,178.7132598964516,0.04069193593751183,0.04069193593751183,0.9983427931824393,0.000116279802196
1.0,-45.0,1.2867401035484,0.07025888115257994,0.07025888115257994,0.9950514455234841,0.000151872858397
1.0,-45.0,178.7132598964516,0.10274954500287069,0.10274954500287069,0.9893862046761144,0.000179879610822
1.0,135.0,1.2867401035484,0.1371457730893425,0.1371457730893425,0.9810107409439782,0.000202259338597
1.0,135.0,178.7132598964516,0.1727758532671952,0.1727758532671952,0.9696891301110812,0.000220309310558
1.0,-135.0,1.2867401035484,0.2091492038929037,0.2091492038929037,0.9552555789012327,0.00023492942343
1.0,-135.0,178.7132598964516,0.2458813281751915,0.2458813281751915,0.9375951924522691,0.000246768205875
1.0,89.0900608609891,89.09017559168676,0.28265458594500653,0.28265458594500653,0.9166312072412295,0.000256309268357
1.0,-89.0900608609891,89.09017559168676,0.31919572917996214,0.31919572917996214,0.8923161844024485,0.000263925389676
